tamanho,conjunto,instancia,tempo (ms),valor solução,sol piecerank
800x800,conjunto 4,5,241832,332,"354,70"
800x800,conjunto 4,6,236311,324,"354,70"
800x800,conjunto 4,7,235298,314,"354,70"
800x800,conjunto 4,8,252649,325,"354,70"
800x800,conjunto 4,9,252071,315,"354,70"
800x800,conjunto 4,10,243329,315,"354,70"
800x800,conjunto 6,1,296941,491,"504,20"
800x800,conjunto 6,2,294232,480,"504,20"
800x800,conjunto 6,3,296721,475,"504,20"
800x800,conjunto 6,4,276704,475,"504,20"
800x800,conjunto 6,5,295614,478,"504,20"
800x800,conjunto 6,6,286364,481,"504,20"
800x800,conjunto 6,7,307477,485,"504,20"
800x800,conjunto 6,8,278312,488,"504,20"
800x800,conjunto 6,9,294590,474,"504,20"
800x800,conjunto 6,10,291495,479,"504,20"
800x800,conjunto 8,1,351912,580,"596,60"
800x800,conjunto 8,2,359940,585,"596,60"
800x800,conjunto 8,3,336164,582,"596,60"
800x800,conjunto 8,4,359727,584,"596,60"
800x800,conjunto 8,5,354364,595,"596,60"
800x800,conjunto 8,6,346382,574,"596,60"
800x800,conjunto 8,7,336922,578,"596,60"
800x800,conjunto 8,8,343379,582,"596,60"
800x800,conjunto 8,9,340611,576,"596,60"
800x800,conjunto 8,10,332673,583,"596,60"
800x800,conjunto 10,1,410945,641,"658,50"
800x800,conjunto 10,2,396037,649,"658,50"
800x800,conjunto 10,3,378410,652,"658,50"
800x800,conjunto 10,4,412868,646,"658,50"
800x800,conjunto 10,5,412330,650,"658,50"
800x800,conjunto 10,6,412013,646,"658,50"
800x800,conjunto 10,7,421929,649,"658,50"
800x800,conjunto 10,8,415414,647,"658,50"
800x800,conjunto 10,9,380800,648,"658,50"
800x800,conjunto 10,10,398136,647,"658,50"
800x800,conjunto 14,1,520316,711,"720,50"
800x800,conjunto 14,2,474258,708,"720,50"
800x800,conjunto 14,3,468808,714,"720,50"
800x800,conjunto 14,4,482829,715,"720,50"
800x800,conjunto 14,5,496630,717,"720,50"
800x800,conjunto 14,6,491564,713,"720,50"
800x800,conjunto 14,7,514773,712,"720,50"
800x800,conjunto 14,8,483036,714,"720,50"
800x800,conjunto 14,9,501510,715,"720,50"
800x800,conjunto 14,10,514937,712,"720,50"
800x800,conjunto 18,1,608653,745,"749,80"
800x800,conjunto 18,2,307008,743,"749,80"
800x800,conjunto 18,3,630737,745,"749,80"
800x800,conjunto 18,4,589075,745,"749,80"
800x800,conjunto 18,5,632043,745,"749,80"
800x800,conjunto 18,6,607362,743,"749,80"
800x800,conjunto 18,7,599375,744,"749,80"
800x800,conjunto 18,8,622530,746,"749,80"
800x800,conjunto 18,9,298837,745,"749,80"
800x800,conjunto 18,10,615905,744,"749,80"
800x800,conjunto 20,1,643680,754,"758,40"
800x800,conjunto 20,2,616150,755,"758,40"
800x800,conjunto 20,3,607454,754,"758,40"
800x800,conjunto 20,4,682384,755,"758,40"
800x800,conjunto 20,5,689108,755,"758,40"
800x800,conjunto 20,6,664686,755,"758,40"
800x800,conjunto 20,7,671581,757,"758,40"
800x800,conjunto 20,8,670496,756,"758,40"
800x800,conjunto 20,9,671167,755,"758,40"
800x800,conjunto 20,10,679004,754,"758,40"
800x800,conjunto 24,1,777559,769,"770,60"
800x800,conjunto 24,2,804298,769,"770,60"
800x800,conjunto 24,3,738419,768,"770,60"
800x800,conjunto 24,4,755009,767,"770,60"
800x800,conjunto 24,5,383674,768,"770,60"
800x800,conjunto 24,6,731808,768,"770,60"
800x800,conjunto 24,7,771888,767,"770,60"
800x800,conjunto 24,8,762191,768,"770,60"
800x800,conjunto 24,9,739369,767,"770,60"
800x800,conjunto 24,10,748291,768,"770,60"
800x800,conjunto 28,1,873427,777,"778,00"
800x800,conjunto 28,2,861153,778,"778,00"
800x800,conjunto 28,3,822269,777,"778,00"
800x800,conjunto 28,4,871562,778,"778,00"
800x800,conjunto 28,5,888533,777,"778,00"
800x800,conjunto 28,6,834733,775,"778,00"
800x800,conjunto 28,7,435710,777,"778,00"
